peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,pi2pi_pr,pi2pi_po,annotation
15428,15543.0,15573.0,1.898219334397574,-0.5416157499733826,-0.5909318445745737,-0.2853283285860492,2.489151178972148,0.04931609460119113,50.47340425273715,-0.31130851628487605,1.1328125,0.234375,0.6560000000000059,0.867999999999995,N
15645,15609.0,15669.0,1.9511221622308614,-1.12920982147331,-1.4797318434590887,-0.5787489083626631,3.43085400568995,0.35052202198577875,9.78784153490118,-0.7584004077772365,0.1875,0.46875,0.867999999999995,0.8240000000000052,N
15851,15770.0,15896.0,2.1860071216804027,-2.7185585497799023,1.0579040423242776,-1.2436183408634656,1.128103079356125,-3.77646259210418,-0.2987195164370913,0.4839435479565399,0.3515625,0.984375,0.8240000000000052,0.7199999999999918,N
16031,16170.0,16264.0,3.46321762953346,-2.494195032028871,-1.038510132878704,-0.7201958695171206,4.501727762412164,-1.455684899150167,-3.09251525865267,-0.2998685742479905,1.8203125,0.734375,0.7199999999999918,0.7319999999999993,N
16214,16170.0,16264.0,4.067512782739607,-2.494195032028871,-1.038510132878704,-0.6131990642077212,5.106022915618311,-1.455684899150167,-3.5076429786413406,-0.2553182223017459,0.390625,0.734375,0.7319999999999993,0.7120000000000033,N
16392,16459.0,16513.0,0.8940031915890299,-1.2477000777755003,-0.7640263259694381,-1.395632688467027,1.658029517558468,-0.4836737518060622,-3.427991515701032,-0.854612526171672,0.9453125,0.421875,0.7120000000000033,0.9560000000000031,N
16631,16620.0,16682.0,1.0194355654303546,0.31013117005620333,0.8245791603917484,0.3042185112751893,0.19485640503860624,-0.514447990335545,-0.378767939032112,0.8088585373648921,0.3984375,0.484375,0.9560000000000031,0.980000000000004,N
16876,16866.0,16902.0,2.5294411841251816,1.7894121246623205,-0.7017221741637236,0.707433774658491,3.231163358288905,2.491134298826044,1.2970650999472821,-0.27742181892496437,0.203125,0.28125,0.980000000000004,0.887999999999991,N
17098,17125.0,17159.0,0.0787624275510821,0.8020081748605048,1.518409806847546,10.182623870250252,-1.439647379296464,-0.7164016319870412,2.0095534613780797,19.27835205260487,0.4765625,0.265625,0.887999999999991,0.9240000000000066,N
17329,17242.0,17379.0,1.8537740226633617,-2.8323056996861684,-0.3463236942217199,-1.5278592023945436,2.2000977168850815,-2.4859820054644484,-0.8850014650343553,-0.18682087999277727,0.390625,1.0703125,0.9240000000000066,0.9479999999999933,N
17566,17615.0,17671.0,-0.5904521434714521,-0.5893933248491541,-0.7755031921772054,0.9982067664009602,0.18505104870575328,0.18610986732805135,0.9943107872919402,1.3134056684387332,0.8203125,0.4375,0.9479999999999933,0.9240000000000066,N
17797,17868.0,17933.0,2.561441471303092,-1.5623582199407051,0.09699383418008933,-0.6099527306965482,2.4644476371230026,-1.6593520541207945,-1.4851867215295593,0.03786689458523731,1.0625,0.5078125,0.9240000000000066,0.9359999999999928,N
18031,17984.0,18095.0,1.5435147400600888,-1.4284749624747262,0.16778694529505128,-0.9254689478502265,1.3757277947650375,-1.5962619077697775,-0.8618434030585495,0.1087044658145081,0.5,0.8671875,0.9359999999999928,0.8880000000000052,N
18253,18240.0,18288.0,1.4955864651698125,0.7371847740502562,0.21002239632702352,0.49290682365633365,1.285564068842789,0.5271623777232326,2.4386491205897998,0.14042812048528205,0.2734375,0.375,0.8880000000000052,1.1200000000000045,N
18533,18547.0,18640.0,-0.7693085973725984,-1.5076080140699284,-1.0370578855764963,1.9596921433334122,0.2677492882038979,-0.47055012849343214,-0.5690133143968211,1.348038861281852,0.8359375,0.7265625,1.1200000000000045,1.0999999999999943,N
18808,18798.0,18863.0,2.0317200283725962,1.2938280684322037,-1.274003681038038,0.6368141527199284,3.305723709410634,2.5678317494702414,1.287359933178108,-0.6270567121684145,0.4296875,0.5078125,1.0999999999999943,0.9920000000000044,N
19056,19060.0,19108.0,0.7104513024910792,0.6347855321996029,-1.6862594585027297,0.8934961903424388,2.396710760993809,2.3210449907023327,1.0325998722965644,-2.3735046337309,0.40625,0.375,0.9920000000000044,0.8639999999999901,N
19272,19415.0,19505.0,0.45134673418254606,-2.6305474596870013,0.44284045846467046,-5.828218663089037,0.0085062757178756,-3.073387918151672,-0.0027677195148835144,0.9811535675930353,1.8203125,0.703125,0.8639999999999901,0.7600000000000051,N
19462,19415.0,19505.0,2.026714481021265,-2.6305474596870013,0.44284045846467046,-1.297936874838662,1.5838740225565946,-3.073387918151672,-0.5153511579850072,0.21850165013945247,0.3359375,0.703125,0.7600000000000051,0.6800000000000068,N
19632,19568.0,19670.0,2.257346749475142,-2.875931238786135,-0.38897280618674157,-1.2740316654739998,2.6463195556618837,-2.486958432599393,-1.0640787240243195,-0.17231415876944117,0.296875,0.796875,0.6800000000000068,0.6439999999999912,N
19793,19951.0,20026.0,1.5901835593659455,-0.3370655727642205,0.8725230517604997,-0.2119664555572558,0.7176605076054458,-1.2095886245247203,-0.5933095707538039,0.5486932918036213,1.8203125,0.5859375,0.6439999999999912,0.6560000000000059,N
19957,19951.0,20026.0,0.23872160603021716,-0.3370655727642205,0.8725230517604997,-1.4119608960805794,-0.6338014457302825,-1.2095886245247203,0.5239809906275533,3.654981491914295,0.5390625,0.5859375,0.6560000000000059,0.6479999999999961,N
20119,20143.0,20185.0,-1.8506407024163325,-0.8391344504995787,0.9255600076644175,0.4534291553211507,-2.77620071008075,-1.764694458163996,1.5731905867541138,-0.5001294991815204,0.515625,0.328125,0.6479999999999961,0.652000000000001,N
20282,20447.0,20536.0,0.8083718224681581,-1.1773473846463285,0.2560038677369967,-1.4564428792824535,0.5523679547311614,-1.4333512523833252,-0.38536817392994477,0.3166907363932526,1.984375,0.6953125,0.652000000000001,0.8760000000000048,N
20501,20447.0,20536.0,1.3236713766751587,-1.1773473846463285,0.2560038677369967,-0.8894559521288647,1.067667508938162,-1.4333512523833252,-0.7448749963854866,0.1934043994968265,0.2734375,0.6953125,0.8760000000000048,0.8719999999999999,N
20719,20743.0,20793.0,-0.23321801228430192,-1.2414890099194145,-0.2879361107062313,5.323298135334378,0.0547180984219294,-0.9535528992131832,-0.05738339054611403,1.234622094091197,0.578125,0.390625,0.8719999999999999,0.7800000000000011,N
20914,20873.0,20927.0,2.829453422132816,-1.7848071879431926,1.9651867722093492,-0.630795748034552,0.8642666499234666,-3.749993960152542,-0.23047147784960967,0.6945464296521303,0.1015625,0.421875,0.7800000000000011,0.7519999999999953,N
21102,21166.0,21235.0,0.28744241872501564,-1.240447313150185,-0.4755143879667301,-4.3154636627827365,0.7629568066917458,-0.7649329251834549,-0.9974166120627699,-1.6542944151247043,1.0390625,0.5390625,0.7519999999999953,0.7360000000000042,N
21286,21299.0,21350.0,-0.40691201366771523,-1.104319926850633,-0.07668521971050475,2.7139034723915074,-0.3302267939572105,-1.0276347071401282,0.32134647814321127,0.1884565142702471,0.5,0.3984375,0.7360000000000042,1.043999999999997,N
21547,21752.0,21893.0,1.9196838279260062,-1.1192526489359467,-0.07691768892082962,-0.583040098923565,1.9966015168468358,-1.042334960015117,-1.9155085394217988,-0.040067894411513684,2.703125,1.1015625,1.043999999999997,1.0879999999999939,N
21819,22010.0,22113.0,1.1255473154395093,-1.1245065022662089,0.1760681947000279,-0.9990752826122694,0.9494791207394814,-1.3005746969662368,-0.7300458197089852,0.156428958858363,2.296875,0.8046875,1.0879999999999939,1.0120000000000005,N
22072,22010.0,22113.0,1.2093906883159653,-1.1245065022662089,0.1760681947000279,-0.9298124362376605,1.0333224936159373,-1.3005746969662368,-0.7945122229628941,0.1455842155897502,0.3203125,0.8046875,1.0120000000000005,0.936000000000007,N
22306,22249.0,22341.0,1.2944920816005483,-1.1695166529281225,0.2665123812026645,-0.9034560114744754,1.0279797003978839,-1.436029034130787,-0.7158488275413658,0.2058818164983603,0.2734375,0.71875,0.936000000000007,0.9119999999999919,N
22534,22482.0,22562.0,1.3339020677533415,-0.9912319675438277,-0.2354449352800469,-0.7431070027602066,1.5693470030333885,-0.7557870322637807,-2.076440764447601,-0.17650841165318906,0.21875,0.625,0.9119999999999919,0.9080000000000013,N
22761,22828.0,22876.0,1.78252626117728,-0.47864259674499293,-0.35790418805352914,-0.2685192398954451,2.1404304492308093,-0.1207384086914638,-17.72783385526049,-0.20078480516587127,0.8984375,0.375,0.9080000000000013,0.8920000000000101,N
22984,22927.0,23033.0,1.1663754699298197,-1.5381867684996937,-0.07867692869388491,-1.3187749641136106,1.2450523986237045,-1.4595098398058088,-0.8530620107291375,-0.06745420383250933,0.3828125,0.828125,0.8920000000000101,0.8439999999999941,N
23195,23143.0,23249.0,1.6934669479952156,-1.6105838558243284,-0.2763070668782832,-0.9510571539237851,1.9697740148734988,-1.3342767889460452,-1.4762859034889135,-0.1631605902940031,0.421875,0.828125,0.8439999999999941,0.7879999999999967,N
23392,23345.0,23425.0,1.2364093940467475,-1.4532223430090698,0.6370789761333975,-1.175356924661254,0.5993304179133501,-2.0903013191424673,-0.2867196286127885,0.5152653960742312,0.2578125,0.625,0.7879999999999967,0.9200000000000017,N
23622,23572.0,23628.0,1.4991526919884661,-1.785881401482964,1.2305462972011147,-1.1912605107050056,0.2686063947873514,-3.016427698684079,-0.08904784785809099,0.8208278608157827,0.046875,0.4375,0.9200000000000017,0.9440000000000026,N
